Year,Road user type,Age group,Killed,KSI (unadjusted),KSI (adjusted) ,All casualties
2007,Car passengers,0 to 15 (children),44,516,842,"9,209"
2008,Car passengers,0 to 15 (children),49,482,779,"8,739"
2009,Car passengers,0 to 15 (children),29,458,735,"8,282"
2010,Car passengers,0 to 15 (children),18,356,611,"7,763"
2011,Car passengers,0 to 15 (children),21,333,580,"7,557"
2012,Car passengers,0 to 15 (children),26,345,575,"7,137"
2013,Car passengers,0 to 15 (children),13,282,490,"6,515"
2014,Car passengers,0 to 15 (children),18,330,563,"7,224"
2015,Car passengers,0 to 15 (children),19,329,542,"7,001"
2016,Car passengers,0 to 15 (children),26,393,549,"7,122"
2017,Car passengers,0 to 15 (children),20,374,507,"6,716"
2018,Car passengers,0 to 15 (children),15,363,489,"5,995"
2019,Car passengers,0 to 15 (children),8,457,548,"5,693"
2020,Car passengers,0 to 15 (children),10,295,346,"3,558"
2021,Car passengers,0 to 15 (children),12,368,422,"4,230"
2004,Car passengers,16 to 59,410,"4,006","5,756","40,763"
2005,Car passengers,16 to 59,400,"3,602","5,311","39,248"
2006,Car passengers,16 to 59,371,"3,536","5,198","38,103"
2007,Car passengers,16 to 59,341,"3,194","4,718","35,816"
2008,Car passengers,16 to 59,272,"2,832","4,174","32,927"
2009,Car passengers,16 to 59,257,"2,598","3,949","32,822"
2010,Car passengers,16 to 59,169,"2,193","3,354","29,760"
2011,Car passengers,16 to 59,169,"2,002","3,089","27,433"
2012,Car passengers,16 to 59,166,"2,012","3,051","26,367"
2013,Car passengers,16 to 59,152,"1,814","2,723","23,122"
2014,Car passengers,16 to 59,138,"1,797","2,759","24,271"
2015,Car passengers,16 to 59,126,"1,799","2,678","23,095"
2016,Car passengers,16 to 59,156,"2,063","2,673","22,242"
2017,Car passengers,16 to 59,135,"2,108","2,611","20,457"
2018,Car passengers,16 to 59,137,"2,052","2,523","18,315"
2019,Car passengers,16 to 59,122,"2,136","2,489","16,920"
2020,Car passengers,16 to 59,112,"1,698","1,916","12,241"
2021,Car passengers,16 to 59,141,"2,093","2,282","13,152"
2004,Car passengers,60 and over,102,823,"1,181","6,421"
2005,Car passengers,60 and over,118,774,"1,112","5,999"
2006,Car passengers,60 and over,118,723,"1,031","5,592"
2007,Car passengers,60 and over,104,676,965,"5,246"
2008,Car passengers,60 and over,75,615,887,"4,907"
2009,Car passengers,60 and over,73,623,888,"4,915"
2010,Car passengers,60 and over,74,630,881,"4,775"
2011,Car passengers,60 and over,80,632,881,"4,624"
2012,Car passengers,60 and over,67,597,840,"4,459"
2013,Car passengers,60 and over,72,596,825,"4,262"
2014,Car passengers,60 and over,73,605,851,"4,539"
2015,Car passengers,60 and over,75,591,825,"4,358"
2016,Car passengers,60 and over,82,715,879,"4,264"
2017,Car passengers,60 and over,78,660,798,"3,869"
2018,Car passengers,60 and over,79,706,849,"3,850"
2019,Car passengers,60 and over,98,748,855,"3,532"
2020,Car passengers,60 and over,47,416,467,"2,009"
2021,Car passengers,60 and over,47,513,574,"2,400"
2004,Car occupants,0 to 15 (children),51,759,"1,180","11,885"
2005,Car occupants,0 to 15 (children),51,595,"1,001","10,790"
2006,Car occupants,0 to 15 (children),60,596,959,"10,084"
2007,Car occupants,0 to 15 (children),46,526,854,"9,251"
2008,Car occupants,0 to 15 (children),49,490,788,"8,769"
2009,Car occupants,0 to 15 (children),29,463,741,"8,306"
2010,Car occupants,0 to 15 (children),18,360,616,"7,787"
2011,Car occupants,0 to 15 (children),21,336,583,"7,571"
2012,Car occupants,0 to 15 (children),27,346,577,"7,146"
2013,Car occupants,0 to 15 (children),13,283,492,"6,529"
2014,Car occupants,0 to 15 (children),18,333,567,"7,240"
2015,Car occupants,0 to 15 (children),19,332,545,"7,015"
2016,Car occupants,0 to 15 (children),26,393,549,"7,130"
2017,Car occupants,0 to 15 (children),20,378,511,"6,726"
2018,Car occupants,0 to 15 (children),15,370,496,"6,015"
2019,Car occupants,0 to 15 (children),9,462,553,"5,709"
2020,Car occupants,0 to 15 (children),10,301,352,"3,575"
2021,Car occupants,0 to 15 (children),13,376,430,"4,243"
2004,Car occupants,16 to 59,"1,283","12,760","18,574","149,318"
2005,Car occupants,16 to 59,"1,286","11,574","17,235","145,513"
2006,Car occupants,16 to 59,"1,226","11,330","16,748","140,174"
2007,Car occupants,16 to 59,"1,092","10,297","15,339","132,411"
2008,Car occupants,16 to 59,942,"9,369","13,901","121,609"
2009,Car occupants,16 to 59,810,"8,601","12,993","117,456"
2010,Car occupants,16 to 59,589,"7,368","11,271","108,001"
2011,Car occupants,16 to 59,628,"6,884","10,565","100,374"
2012,Car occupants,16 to 59,546,"6,659","10,188","96,083"
2013,Car occupants,16 to 59,534,"6,172","9,383","87,204"
2014,Car occupants,16 to 59,523,"6,357","9,713","91,232"
2015,Car occupants,16 to 59,503,"6,203","9,374","88,344"
2016,Car occupants,16 to 59,541,"6,957","9,138","85,599"
2017,Car occupants,16 to 59,524,"6,958","8,722","78,373"
2018,Car occupants,16 to 59,503,"7,052","8,705","72,300"
2019,Car occupants,16 to 59,426,"7,344","8,593","68,423"
2020,Car occupants,16 to 59,434,"5,917","6,751","50,730"
2021,Car occupants,16 to 59,479,"6,943","7,715","54,970"
2004,Car occupants,60 and over,331,"2,304","3,312","18,479"
2005,Car occupants,60 and over,336,"2,173","3,164","17,857"
2006,Car occupants,60 and over,321,"2,136","3,057","17,230"
2007,Car occupants,60 and over,292,"1,926","2,826","16,497"
2008,Car occupants,60 and over,265,"1,953","2,792","15,732"
2009,Car occupants,60 and over,220,"1,915","2,759","15,682"
2010,Car occupants,60 and over,228,"1,892","2,701","15,306"
2011,Car occupants,60 and over,234,"1,909","2,738","15,306"
2012,Car occupants,60 and over,228,"1,948","2,762","14,948"
2013,Car occupants,60 and over,238,"1,878","2,680","14,602"
2014,Car occupants,60 and over,256,"2,062","2,923","15,629"
2015,Car occupants,60 and over,232,"1,977","2,796","14,887"
2016,Car occupants,60 and over,249,"2,213","2,789","14,851"
2017,Car occupants,60 and over,243,"2,151","2,654","13,818"
2018,Car occupants,60 and over,259,"2,448","2,962","13,913"
2019,Car occupants,60 and over,301,"2,455","2,848","13,243"
2020,Car occupants,60 and over,174,"1,599","1,818","8,466"
2021,Car occupants,60 and over,190,"1,899","2,140","9,937"
2004,All road users,0 to 15 (children),166,"3,905","5,920","31,000"
2005,All road users,0 to 15 (children),141,"3,472","5,323","28,126"
2006,All road users,0 to 15 (children),169,"3,294","4,907","25,523"
2007,All road users,0 to 15 (children),121,"3,090","4,567","23,807"
2008,All road users,0 to 15 (children),124,"2,807","4,137","21,996"
2009,All road users,0 to 15 (children),81,"2,671","3,906","20,655"
2010,All road users,0 to 15 (children),55,"2,502","3,683","19,569"
2011,All road users,0 to 15 (children),60,"2,412","3,597","19,474"
2012,All road users,0 to 15 (children),61,"2,272","3,296","17,251"
2013,All road users,0 to 15 (children),48,"1,974","2,909","15,756"
2014,All road users,0 to 15 (children),53,"2,077","3,049","16,727"
2015,All road users,0 to 15 (children),54,"1,960","2,866","16,103"
2016,All road users,0 to 15 (children),69,"2,062","2,725","15,976"
2017,All road users,0 to 15 (children),48,"2,121","2,669","15,721"
2018,All road users,0 to 15 (children),48,"2,112","2,626","14,266"
2019,All road users,0 to 15 (children),39,"2,172","2,574","13,574"
2020,All road users,0 to 15 (children),41,"1,619","1,865","9,171"
2021,All road users,0 to 15 (children),36,"2,030","2,272","10,924"
2004,All road users,16 to 59,"2,361","25,280","36,848","214,275"
2005,All road users,16 to 59,"2,358","23,776","34,879","208,454"
2006,All road users,16 to 59,"2,305","23,652","34,080","200,259"
2007,All road users,16 to 59,"2,154","22,853","32,799","192,507"
2008,All road users,16 to 59,"1,835","21,075","30,238","179,098"
2009,All road users,16 to 59,"1,632","19,725","28,667","173,169"
2010,All road users,16 to 59,"1,326","17,706","25,946","161,617"
2011,All road users,16 to 59,"1,328","18,142","26,374","156,937"
2012,All road users,16 to 59,"1,197","17,954","26,007","151,912"
2013,All road users,16 to 59,"1,206","17,017","24,700","142,150"
2014,All road users,16 to 59,"1,187","17,699","25,854","150,132"
2015,All road users,16 to 59,"1,184","17,177","24,751","143,696"
2016,All road users,16 to 59,"1,189","18,490","23,809","139,153"
2017,All road users,16 to 59,"1,186","19,135","22,925","130,683"
2018,All road users,16 to 59,"1,148","19,271","22,834","120,960"
2019,All road users,16 to 59,"1,075","19,319","22,030","114,957"
2020,All road users,16 to 59,984,"15,759","17,657","89,272"
2021,All road users,16 to 59,"1,081","18,210","20,017","97,908"
2004,All road users,60 and over,676,"4,547","6,462","28,091"
2005,All road users,60 and over,693,"4,306","6,148","26,967"
2006,All road users,60 and over,689,"4,399","6,118","26,234"
2007,All road users,60 and over,663,"4,249","5,943","25,467"
2008,All road users,60 and over,578,"4,236","5,813","24,484"
2009,All road users,60 and over,509,"4,174","5,777","24,415"
2010,All road users,60 and over,469,"3,980","5,495","23,522"
2011,All road users,60 and over,513,"4,201","5,788","23,979"
2012,All road users,60 and over,496,"4,321","5,889","23,357"
2013,All road users,60 and over,459,"4,076","5,632","22,712"
2014,All road users,60 and over,535,"4,553","6,215","24,544"
2015,All road users,60 and over,492,"4,426","6,004","23,396"
2016,All road users,60 and over,533,"4,819","5,975","23,409"
2017,All road users,60 and over,559,"4,970","5,882","22,375"
2018,All road users,60 and over,588,"5,448","6,395","22,483"
2019,All road users,60 and over,638,"5,425","6,145","21,372"
2020,All road users,60 and over,435,"4,020","4,466","14,660"
2021,All road users,60 and over,441,"4,477","4,943","16,619"
